issue_number,buggy_generated,fixed_generated,buggy_syntax_valid,fixed_syntax_valid,buggy_execution_status,fixed_execution_status,reconstruction_status,notes,case_dir,issue_id,platform,api_era,bug_summary,fix_summary,pair_similarity,buggy_lines,fixed_lines,provider,model,cached,repair_rounds,input_tokens,output_tokens,source_truncated_fields
11,True,True,True,True,OK,OK,NEEDS_REVIEW,"flagged during reconstruction: the source row contains no code at all; buggy_code repeats the question text and fixed_code repeats the answer prose. Register sizing and the missing modular exponentiation come directly from the answer, but the asker's actual circuit is not recoverable.",issue_011,27052,SE,modern,"period finding for N=21 is attempted with a 3-qubit work register, 2 controls and no modular exponentiation, so the inverse QFT reads a register that never encoded the period","size the work register to ceil(log2 N)=5 and the control register to 2*ceil(log2 N)=10, and apply real controlled modular multiplications before the inverse QFT",0.5279,11,25,claude-code-agent,claude-code-session,False,0,0,0,
14,True,True,True,True,OK,OK,SUCCESS,both programs run; defect is semantic rather than fatal,issue_014,15285,SE,modern,"expectations are written big-endian, so h(0) and cx(0,1) on Statevector.from_label('01') appear to act on the wrong qubit and both checks report False","write the expected states in Qiskit's little-endian label order, where the right-most label character is qubit 0, and both checks report True",0.9882,16,16,claude-code-agent,claude-code-session,False,0,0,0,
15,True,True,True,True,ERROR:ImportError,ERROR:ImportError,VERSION_INCOMPATIBLE,fixed.py needs an API absent from the installed Qiskit (ImportError),issue_015,21311,SE,legacy,"the Y-basis rotation is sdg alone instead of sdg followed by h, and the inverse-channel expression closes the parenthesis around (unitary - id) so the first kron factor is built from the wrong matrix ","measure the Y basis with H S-dagger, and place the parentheses so each factor is 3*U^dagger|b><b|U - I before the Kronecker product",0.6893,42,40,claude-code-agent,claude-code-session,False,0,0,0,
16,True,True,True,True,SKIPPED_NETWORK,SKIPPED_NETWORK,SUCCESS,not executed (remote access required or execution disabled); validated statically only,issue_016,11575,SE,legacy,"the Bernstein-Vazirani circuit is submitted straight to ibmq_burlington, where CX error rates push the correct string 1010 down to fifth place in the counts","build a NoiseModel from the device and run it against the qasm simulator, which reproduces the degradation locally and shows the noise, not the circuit, is at fault",0.7875,31,39,claude-code-agent,claude-code-session,False,0,0,0,
18,True,True,True,True,ERROR:ModuleNotFoundError,ERROR:ModuleNotFoundError,VERSION_INCOMPATIBLE,fixed.py needs an API absent from the installed Qiskit (ModuleNotFoundError),issue_018_se,40987,SE,modern,"Alice's A operators are applied to qubits [0,1] and Bob's B operators to [2,3], the opposite of the qubit assignment the win condition reads, so the game only wins about half the time when row and col","apply the A operators to qubits [2,3] and the B operators to [0,1], matching Qiskit's |q3 q2 q1 q0> ordering used by the interpretation code",0.9926,90,90,claude-code-agent,claude-code-session,False,0,0,0,
19,True,True,True,True,SKIPPED_NETWORK,SKIPPED_NETWORK,NEEDS_REVIEW,"flagged during reconstruction: the source row contains no program; buggy_code is only the fragments ""execute"", ""shots"", ""QuantumCircuit"" and ""IBMJobManager"". This is a minimal stand-in for the run_config point the answer makes.",issue_019_se,13707,SE,legacy,"IBMQJobManager.run is called without shots, so every circuit silently runs at the default 1024 (or the backend maximum, whichever is smaller) rather than the requested count","pass shots through IBMQJobManager.run, which forwards it via run_config",0.9846,16,16,claude-code-agent,claude-code-session,False,0,0,0,
21,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 2 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_021_se,16786,SE,legacy,"Custom gate is assembled directly into a Qobj without transpiling to the backend's basis gates, causing statevector_simulator to reject the unrecognized ""CNOTNOT"" instruction.",Use execute() (or transpile() then assemble()) so the circuit is transpiled into basis gates before running on the simulator.,0.8633,26,25,anthropic,claude-sonnet-5,False,0,3686,1137,
26,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 4 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 17 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_026,26332,SE,modern,"qc.x(0,1) passes an int as the gate's label argument, which later crashes the mpl drawer with TypeError: object of type 'int' has no len()","pass a string (e.g. '1') as the label argument to x() and/or explicitly request the 'mpl' drawer, avoiding the int-as-label crash",0.4791,7,5,anthropic,claude-sonnet-5,False,0,9069,388,
22,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,"BUGGY CODE: 1 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: contains prose rather than code | unresolved names in buggy.py: QuantumCircuit, Aer, execute | unresolved names in fixed.py: QuantumCircuit, Aer, execute | not executed (remote access required or execution disabled); validated statically only",issue_022,11464,SE,legacy,"Author expected the unitary_simulator output to follow little-endian (textbook) qubit ordering, but Qiskit uses big-endian ordering, making the matrix look ""shifted"".",Reverse the circuit's qubit ordering (circuit.reverse_bits()) before simulation so the resulting unitary matches the conventional little-endian textbook representation.,0.631,8,12,anthropic,claude-sonnet-5,False,0,2540,1712,
27,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: contains prose rather than code | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_027_se,30109,SE,legacy,"Author tried to rename a job by passing the deprecated qobj_id parameter to execute(), which no longer affects the job name.",Use job.update_name('test_name') on the Job object returned by execute() to rename it after submission.,0.7617,11,10,anthropic,claude-sonnet-5,False,0,2138,1151,
23,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: 1 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: contains prose rather than code | model flagged for review: The scraped fixed code only contained the word ""RealAmplitudes"" with no actual corrected program, so the fix had to be inferred from the explanation rather than recovered verbatim. | flagged during reconstruction: The scraped fixed code only contained the word ""RealAmplitudes"" with no actual corrected program, so the fix had to be inferred from the explanation rather than recovered verbatim.",issue_023,40044,SE,modern,"User assumed RealAmplitudes(reps=1) with all-zero parameters would be the identity, but the CX entangling layers remain regardless of rotation angles, changing the state.","Use reps=0 (no entangling CX layers) so that with all-zero parameters the ansatz truly reduces to the identity, matching the expected behaviour explained in the answer.",0.8437,19,23,anthropic,claude-sonnet-5,False,0,2659,1505,
24,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"model flagged for review: Original Q&A is conceptual/API-discovery rather than a concrete bug reproduction, so a minimal illustrative circuit was fabricated to match the explanation. | flagged during reconstruction: Original Q&A is conceptual/API-discovery rather than a concrete bug reproduction, so a minimal illustrative circuit was fabricated to match the explanation.",issue_024_se,27837,SE,legacy,"Custom gate appended to a circuit remains an opaque grouped instruction when exported via qasm(), since the user only knew about from_qasm_file/qasm() and not decomposition.",Call QuantumCircuit.decompose() (or transpile()) before exporting to QASM to ungroup the custom gate into its constituent gates.,0.6779,12,13,anthropic,claude-sonnet-5,False,0,1713,1088,
28,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,FIXED CODE: 6 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_028_se,24349,SE,legacy,"Notebook code imports `run_puzzle` from a nonexistent `hello_qiskit` module that only exists as a local helper file in the Qiskit Textbook Jupyter environment, causing ModuleNotFoundError.",Recreate the missing helper functionality locally by importing hello_quantum from qiskit_textbook.games and defining `exercises` and `run_puzzle` directly instead of relying on the unavailable hello_q,0.1345,6,27,anthropic,claude-sonnet-5,False,0,3042,722,
32,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_032_se,16922,SE,legacy,"TwoLocal's entanglement_blocks argument is passed the string 'iswap', which is not a recognized gate name string and raises ValueError.",Pass an actual iSwapGate() instance instead of the unsupported string name to entanglement_blocks.,0.8685,9,10,anthropic,claude-sonnet-5,False,0,3671,410,
30,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 4 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_030_se,16100,SE,legacy,"Each small circuit is composed individually in a loop, overwriting qcom and losing the accumulated composition instead of building up the large circuit.","Use functools.reduce with a list of (circuit, qubits) tuples to fold all compositions into qcl in one accumulated expression.",0.576,14,13,anthropic,claude-sonnet-5,False,0,2319,907,
35,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 6 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 3 duplicate block(s) removed | unresolved names in buggy.py: transpile | unresolved names in fixed.py: transpile | not executed (remote access required or execution disabled); validated statically only,issue_035_se,34747,SE,legacy,"Tensor product order (init_statevector.tensor(statevector_bell)) and Bob's X/Z correction order ignore Qiskit's little-endian qubit ordering, producing an unwanted phase/state mismatch.",Swap tensor product order to statevector_bell.tensor(init_statevector) and swap the X/Z correction gates applied to Bob's qubit to match little-endian ordering.,0.9731,94,96,anthropic,claude-sonnet-5,False,0,7012,3564,
29,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 1 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_029_se,13248,SE,legacy,"Attempting to pass existing qubits directly to QuantumRegister() constructor to build a sub-register, which is not a valid signature.",Build the sub-portion as a separate QuantumCircuit and append it as an instruction on the desired qubits of the main circuit instead of constructing a register from existing qubits.,0.2043,6,9,anthropic,claude-sonnet-5,False,0,2020,492,
40,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 4 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_040,27838,SE,legacy,Using Qiskit's job.result().get_memory(tqc) on a qiskit_braket_provider IonQ job fails with QiskitError because the Braket-backed result object doesn't populate experiment header/name data needed by g,Bypass qiskit_braket_provider's Result wrapper and fetch per-shot measurements directly from the underlying Braket AwsQuantumTask via task.result().measurements.,0.6774,15,20,anthropic,claude-sonnet-5,False,0,3752,739,
44,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"FIXED CODE: contains prose rather than code | model flagged for review: Scraped question and fixed code contain almost no literal code, so the reconstruction is inferred from the explanation and error message rather than recovered verbatim source. | flagged during reconstruction: Scraped question and fixed code contain almost no literal code, so the reconstruction is inferred from the explanation and error message rather than recovered verbatim source.",issue_044_se,34183,SE,modern,Calling DensityMatrix.to_statevector() on a mixed-state density matrix raises QiskitError since the matrix is not pure.,Diagonalize the density matrix with numpy and extract the eigenvector(s) with non-zero eigenvalues as pure-state components instead of calling to_statevector().,0.5835,11,19,anthropic,claude-sonnet-5,False,0,1566,1370,
41,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 8 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 2 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_041_se,14165,SE,legacy,Passing a raw numpy statevector array as state_in to QPE (and using MatrixOperator built from a plain ndarray) causes AttributeError since QPE expects an InitialState/WeightedPauliOperator-compatible ,Build the operator with WeightedPauliOperator.from_dict and pass a proper Custom initial state (plus an explicit QFT-based inverse iqft) so QPE receives objects with the required construct_circuit int,0.3327,20,23,anthropic,claude-sonnet-5,False,0,4952,2785,
50,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_050,35770,SE,modern,"Author tried to read the resolved simulation method from the backend object/options, which still just reports 'automatic', not the method actually used.",Retrieve the actual simulation method used from the ExperimentResult metadata via simulation_run.result().results[0].metadata['method'].,0.6266,10,9,anthropic,claude-sonnet-5,False,0,1778,466,
47,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: contains prose rather than code | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_047_se,12378,SE,legacy,"Code references a misspelled/nonexistent class ""WightedPauliSum"" instead of the actual Aqua operator class, causing an ImportError.","Correctly import and use ""WeightedPauliOperator"" from qiskit.aqua.operators, then call its evolve() method to build the Trotterized circuit.",0.7741,11,11,anthropic,claude-sonnet-5,False,0,1914,1422,
46,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: contains prose rather than code | model flagged for review: Buggy code field contained only question prose with no actual code, so the buggy program had to be inferred from the description rather than recovered verbatim. | flagged during reconstruction: Buggy code field contained only question prose with no actual code, so the buggy program had to be inferred from the description rather than recovered verbatim.",issue_046_se,31542,SE,legacy,Original buggy code was never provided (only question prose); reconstructed nested-loop attempt fails to produce the intended even/odd-weight entangled superposition states.,Prepare the GHZ-like state (|0000>+|1111>)/sqrt2 (or its X-flipped version for odd parity) then apply Hadamard to all qubits to obtain the correct even/odd weighted superposition states.,0.1032,18,31,anthropic,claude-sonnet-5,False,0,2509,1917,
48,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 4 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_048,15364,SE,legacy,"Author used crz/cu1 gates directly assuming they are equivalent to controlled-S/controlled-T, without verifying equivalence.","Use SGate().control(1) and TGate().control(1) to construct true controlled-S/T gates, and verify with Operator comparison against CU1/CRZ.",0.0879,8,14,anthropic,claude-sonnet-5,False,0,2927,557,
51,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"FIXED CODE: contains prose rather than code | model flagged for review: Original scraped question/answer contained only prose (no actual code); buggy/fixed programs are conservatively reconstructed to embody the conceptual misunderstanding and its resolution, not literal scraped code. | flagged during reconstruction: Original scraped question/answer contained only prose (no actual code); buggy/fixed programs are conservatively reconstructed to embody the conceptual misunderstanding and its resolution, not literal scraped code.",issue_051_se,38998,SE,legacy,"Asker's misconception that CZ(0,1) also marks |10> led to redundant/incorrect extra gates being added to the oracle","Remove the unnecessary extra gates; CZ(0,1) alone already correctly marks only |11> since Z has no effect on |0>",0.8096,26,23,anthropic,claude-sonnet-5,False,0,1933,2767,
58,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 5 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_058_se,31957,SE,legacy,"Circuit with a composite gate (diffuser, containing mct) is run directly via backend.run without transpiling, causing ""Circuit contains invalid instructions"" error from Aer.",Transpile the circuit against the target backend before calling backend.run so composite gates are unrolled to basis gates.,0.8597,31,32,anthropic,claude-sonnet-5,False,0,3533,1325,
62,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 1 duplicate block(s) removed | FIXED CODE: 2 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_062,31462,SE,modern,"Used QuantumCircuit.depth() to count ""columns"", but depth() returns critical-path length, not the number of parallel layers/columns shown in the drawing.","Added a num_layers helper that counts the number of layer nodes from the text drawing, correctly matching the visual ""columns"" concept.",0.3947,8,7,anthropic,claude-sonnet-5,False,0,2237,510,
61,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 1 duplicate block(s) removed | FIXED CODE: 1 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_061,34328,SE,modern,"Directly accessing qubit.register and qubit.index on a Bit instance, which triggers a DeprecationWarning since bits no longer back-reference their containing registers.",Use QuantumCircuit.find_bit(qbit) to obtain a BitLocation with .index and .registers instead of the deprecated qubit.register/qubit.index attributes.,0.7122,10,12,anthropic,claude-sonnet-5,False,0,1882,526,
59,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: contains prose rather than code | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_059_se,38364,SE,modern,Full measurement counts are used directly with no way to extract partial (marginal) probabilities for specific qubits.,"Use qiskit.result.marginal_counts(res, [0, 1]) to obtain the marginal counts for the desired qubits.",0.5988,15,14,anthropic,claude-sonnet-5,False,0,2202,583,
68,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_068_se,9957,SE,legacy,"Imports QISKitError from qiskit, which no longer exists under that name/location.","Import QiskitError from qiskit.exceptions, matching the renamed/moved exception class.",0.893,5,5,anthropic,claude-sonnet-5,False,0,1491,246,
64,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: 3 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: contains prose rather than code | model flagged for review: The resolution is an environment/OS upgrade, not a code-level correction, so buggy.py and fixed.py are nearly identical; flagging for review since no meaningful code diff exists. | flagged during reconstruction: The resolution is an environment/OS upgrade, not a code-level correction, so buggy.py and fixed.py are nearly identical; flagging for review since no meaningful code diff exists.",issue_064_se,15605,SE,legacy,"Importing qiskit.aqua (which pulls in scikit-learn) raises ""ImportError: dlopen: cannot load any more object with static TLS"" due to glibc's static TLS slot limit on old OS versions (Ubuntu 14.04).","No code change resolves this; the fix is an OS/glibc upgrade (e.g. to Ubuntu 16.04+) which raises the static TLS slot limit, so the import succeeds.",0.1798,4,11,anthropic,claude-sonnet-5,False,0,7127,1424,
66,True,True,True,True,NOT_RUN,NOT_RUN,NEEDS_REVIEW,"BUGGY CODE: contains prose rather than code | FIXED CODE: 6 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: block 4 truncated for prompt length | model flagged for review: The actual accepted fix was an environment/container restart rather than a code change, so the code-level ""fix"" here is a reasonable local-simulator substitute rather than a literal reproduction of the solution | flagged during reconstruction: The actual accepted fix was an environment/container restart rather than a code change, so the code-level ""fix"" here is a reasonable local-simulator substitute rather than a literal reproduction of the solution",issue_066,41253,SE,modern,"AerSimulator invoked with device=""GPU"" (and mistyped method=""Statevector"") fails with RuntimeError: No CUDA device available! because no functioning CUDA GPU is exposed to the environment","Correct method casing to ""statevector"" and fall back to device=""CPU"" so the simulation runs locally without a GPU; original real-world fix was restarting the container to re-expose the GPU, which cann",0.5183,17,16,anthropic,claude-sonnet-5,False,0,8265,1582,
70,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 2 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | not executed (remote access required or execution disabled); validated statically only,issue_070,14537,SE,legacy,"NumPyMinimumEigensolver instance passed directly to process_algorithm_result without calling .run(), so it is never executed and yields no dict-like result, causing a TypeError when subscripted intern",Call .run() on the NumPyMinimumEigensolver instance before passing its result to process_algorithm_result.,0.9987,49,49,anthropic,claude-sonnet-5,False,0,10393,2122,
69,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 4 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 2 duplicate block(s) removed | not executed (remote access required or execution disabled); validated statically only,issue_069,40343,SE,legacy,"The numpy replication builds a block-diagonal 4x4 matrix (np.zeros with H0/H1 placed diagonally) to represent parallel single-qubit rotations, which does not correspond to the tensor product Qiskit ac","Replace the block-diagonal matrix construction with the correct tensor product np.kron(H1, H0), matching Qiskit's qubit ordering convention.",0.9071,44,43,anthropic,claude-sonnet-5,False,0,4316,1888,
73,True,True,True,True,NOT_RUN,NOT_RUN,SUCCESS,BUGGY CODE: 3 duplicate block(s) removed | BUGGY CODE: newlines appear destroyed; line structure must be reconstructed | FIXED CODE: 1 duplicate block(s) removed | FIXED CODE: newlines appear destroyed; line structure must be reconstructed | unresolved names in buggy.py: address | unresolved names in fixed.py: address | not executed (remote access required or execution disabled); validated statically only,issue_073,36990,SE,modern,"execute_quantum_circuit used qiskit's execute() with a raw AwsDevice backend, which lacks .configuration(), causing AttributeError","Use AWSBraketProvider().get_backend(""TN1"") to obtain a proper Qiskit backend and call backend.run() instead of execute() on the raw AwsDevice",0.7447,48,51,anthropic,claude-sonnet-5,False,0,4970,2569,
